normalized_page_path,normalized_page_url,inspection_verdict,inspection_coverage_state,inspection_indexing_state,inspection_page_fetch_state,inspection_robots_txt_state,inspection_google_canonical,inspection_user_canonical,inspection_last_crawl_time,inspection_error_message,has_issue,issue_types,recommended_action,recommended_action_text,source_type
/blog/ukrainian-surrogacy-laws-protect-intended-parents,https://international-surrogacy.com/blog/ukrainian-surrogacy-laws-protect-intended-parents,NEUTRAL,Discovered - currently not indexed,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/want-kids-after-vasectomy-ivf-and-other-choices,https://international-surrogacy.com/blog/want-kids-after-vasectomy-ivf-and-other-choices,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/want-kids-after-vasectomy-ivf-and-other-choices,https://international-surrogacy.com/blog/want-kids-after-vasectomy-ivf-and-other-choices,2026-02-10T03:16:33Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog,https://international-surrogacy.com/blog,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog,https://international-surrogacy.com/blog,2026-03-28T08:57:36Z,,False,[],no_action,No action until more reliable data is available.,inspection
/blog/06-24-27-19,https://international-surrogacy.com/blog/06-24-27-19,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/06-24-27-19,https://international-surrogacy.com/blog/06-24-27-19,2026-02-26T15:13:20Z,,False,[],no_action,No action until more reliable data is available.,inspection
/blog/10-common-questions-about-egg-donation,https://international-surrogacy.com/blog/10-common-questions-about-egg-donation,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/10-common-questions-about-egg-donation,https://international-surrogacy.com/blog/10-common-questions-about-egg-donation,2026-02-19T05:06:30Z,,False,[],no_action,No action until more reliable data is available.,inspection
/blog/10-reasons-people-use-a-surrogate-mother,https://international-surrogacy.com/blog/10-reasons-people-use-a-surrogate-mother,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/10-reasons-people-use-a-surrogate-mother,https://international-surrogacy.com/blog/10-reasons-people-use-a-surrogate-mother,2026-02-19T16:34:19Z,,False,[],no_action,No action until more reliable data is available.,inspection
/blog/28-celebrities,https://international-surrogacy.com/blog/28-celebrities,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/28-celebrities,https://international-surrogacy.com/blog/28-celebrities,2026-03-26T12:29:53Z,,False,[],no_action,No action until more reliable data is available.,inspection
/blog/5-email-subject-lines,https://international-surrogacy.com/blog/5-email-subject-lines,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/5-email-subject-lines,https://international-surrogacy.com/blog/5-email-subject-lines,2026-02-20T22:18:17Z,,False,[],no_action,No action until more reliable data is available.,inspection
/blog/61-year-old-surrogate-mother,https://international-surrogacy.com/blog/61-year-old-surrogate-mother,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/61-year-old-surrogate-mother,https://international-surrogacy.com/blog/61-year-old-surrogate-mother,2026-03-02T04:26:05Z,,False,[],no_action,No action until more reliable data is available.,inspection
/blog/a-guide-for-parents,https://international-surrogacy.com/blog/a-guide-for-parents,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/a-guide-for-parents,https://international-surrogacy.com/blog/a-guide-for-parents,2026-02-24T03:42:19Z,,False,[],no_action,No action until more reliable data is available.,inspection
